2023-10-08T12:52:19.159Z -url GET /tasks/6522a37be038e4777fb2850c - Status: 200, Content Length: 0 bytes
2023-10-08T12:52:24.723Z -url GET /tasks/6522a37be038e4777fb2850c - Status: 200, Content Length: 0 bytes
2023-10-08T12:52:27.237Z -url GET /tasks/6522a37be038e4777fb2850c - Status: 200, Content Length: 0 bytes
2023-10-08T12:52:31.525Z -url GET /tasks - Status: 200, Content Length: 0 bytes
2023-10-08T12:52:33.325Z -url GET /tasks - Status: 200, Content Length: 0 bytes
2023-10-08T12:53:25.647Z -url GET /tasks - Status: 200, Content Length: 0 bytes
2023-10-08T12:53:29.138Z -url GET /tasks - Status: 200, Content Length: 0 bytes
2023-10-08T12:53:30.758Z -url GET /tasks - Status: 200, Content Length: 0 bytes
2023-10-08T12:53:32.348Z -url GET /tasks - Status: 200, Content Length: 0 bytes
2023-10-08T12:53:34.477Z -url GET /tasks - Status: 200, Content Length: 0 bytes
2023-10-08T13:16:34.820Z -url GET /user/regis - Status: 200, Content Length: 0 bytes
2023-10-08T13:16:43.679Z -url POST /user/register - Status: 200, Content Length: 0 bytes
2023-10-08T13:44:55.896Z -url POST /user/logout - Status: 200, Content Length: 0 bytes
